Título;;;;;;;;;;
V: Tipo de vivienda;;;;;;;;;;
Área Geográfica;;;;;;;;;;
Lima;;;;;;;;;;
Universo;;;;;;;;;;
Viviendas Particulares;;;;;;;;;;
;;;;;;;;;;
;Código;Distrito;Casa Independiente;Departamento en edificio;Vivienda en quinta;Vivienda en casa de vecindad (Callejón, solar o corralón);Choza o cabaña;Vivienda improvisada;Local no destinado para habitación humana;
;151028;Lima, Yauyos, distrito: Tanta;    269;    0;    0;    0;    0;    0;    1;
;151029;Lima, Yauyos, distrito: Tauripampa;    394;    0;    0;    0;    2;    0;    0;
;151030;Lima, Yauyos, distrito: Tomas;    331;    0;    0;    0;    46;    0;    1;
;151031;Lima, Yauyos, distrito: Tupe;    311;    0;    0;    0;    12;    14;    1;
;151032;Lima, Yauyos, distrito: Viñac;   1 019;    0;    0;    0;    41;    0;    0;
;151033;Lima, Yauyos, distrito: Vitis;    143;    0;    0;    0;    10;    0;    0;
;TOTAL;;  2 179 387;   644 280;   62 220;   25 919;   4 070;   50 064;   3 929;
;;;;;;;;;;
Fuente: Censos Nacionales de Población y Vivienda 2017;;;;;;;;;;
Instituto Nacional de Estadística e Informática (INEI) - PERÚ;;;;;;;;;;
;;;;;;;;;;
